release_date,model_name,actor,architecture,params_B,preceding_sanction,sanction_date,lag_months,chip_level,open_weight
2023-04-01,YAYI-1 (7B),IDEA Research,Dense,7.0,YMTC Entity List,2022-12-01,4,,True
2023-06-01,ChatGLM2-6B,Tsinghua / Zhipu AI,Dense,6.0,YMTC Entity List,2022-12-01,6,,True
2023-06-01,InternLM-1 (7B/20B),Shanghai AI Laboratory,Dense,20.0,YMTC Entity List,2022-12-01,6,,True
2023-06-01,Baichuan-1 (7B/13B),Baichuan AI,Dense,13.0,YMTC Entity List,2022-12-01,6,,True
2023-07-01,CodeGeeX2-6B,Tsinghua / Zhipu AI,Dense,6.0,YMTC Entity List,2022-12-01,7,,True
2023-08-01,Qwen-1 (7B/14B),Alibaba Cloud,Dense,14.0,YMTC Entity List,2022-12-01,8,,True
2023-09-01,Baichuan-2 (7B/13B),Baichuan AI,Dense,13.0,Executive Order — Outbound Investment,2023-08-01,1,,True
2023-10-01,ChatGLM3-6B,Tsinghua / Zhipu AI,Dense,6.0,Executive Order — Outbound Investment,2023-08-01,2,,True
2023-11-01,DeepSeek-V1 (67B),DeepSeek AI,Dense,67.0,Biren and Moore Threads Entity List,2023-10-01,1,,True
2023-11-01,Yi-34B,01.AI,Dense,34.0,Biren and Moore Threads Entity List,2023-10-01,1,,True
2023-12-01,YAYI-2 (30B),IDEA Research,Dense,30.0,Biren and Moore Threads Entity List,2023-10-01,2,,True
2024-01-01,GLM-4 (9B),Tsinghua / Zhipu AI,Dense,9.0,Biren and Moore Threads Entity List,2023-10-01,3,,True
2024-01-01,InternLM-2 (20B),Shanghai AI Laboratory,Dense,20.0,Biren and Moore Threads Entity List,2023-10-01,3,,True
2024-02-01,Qwen1.5 (72B),Alibaba Cloud,Dense,72.0,Biren and Moore Threads Entity List,2023-10-01,4,,True
2024-03-01,DeepSeek-Coder-V2 (16B/236B),DeepSeek AI,MoE,236.0,Biren and Moore Threads Entity List,2023-10-01,5,,True
2024-04-01,Qwen-Max (proprietary baseline),Alibaba Cloud,MoE,72.0,Biren and Moore Threads Entity List,2023-10-01,6,,False
2024-05-01,DeepSeek-V2 (236B MoE),DeepSeek AI,MoE,236.0,Biren and Moore Threads Entity List,2023-10-01,7,,True
2024-05-01,Yi-1.5 (34B),01.AI,Dense,34.0,Biren and Moore Threads Entity List,2023-10-01,7,,True
2024-06-01,Qwen2 (72B),Alibaba Cloud,Dense,72.0,Biren and Moore Threads Entity List,2023-10-01,8,,True
2024-07-01,InternLM-2.5 (7B/20B),Shanghai AI Laboratory,Dense,20.0,Biren and Moore Threads Entity List,2023-10-01,9,,True
2024-09-01,DeepSeek-V2.5,DeepSeek AI,MoE,236.0,Biren and Moore Threads Entity List,2023-10-01,11,,True
2024-09-01,Qwen2.5 (72B),Alibaba Cloud,Dense,72.0,Biren and Moore Threads Entity List,2023-10-01,11,,True
2024-11-01,InternVL2-Llama3 (76B),Shanghai AI Laboratory,Dense,76.0,Biren and Moore Threads Entity List,2023-10-01,13,,True
2024-12-01,DeepSeek-V3 (671B MoE),DeepSeek AI,MoE,671.0,Biren and Moore Threads Entity List,2023-10-01,14,,True
2025-01-01,DeepSeek-R1 (671B MoE),DeepSeek AI,MoE,671.0,Third-Country Circumvention Controls,2024-12-01,1,,True
2025-01-01,Kimi k1.5,Moonshot AI,Dense,70.0,Third-Country Circumvention Controls,2024-12-01,1,,True
2025-02-01,Qwen2.5-Max,Alibaba Cloud,MoE,671.0,AI Diffusion Rule,2025-01-01,1,,True
2025-03-01,QwQ-32B,Alibaba Cloud,Dense,32.0,AI Diffusion Rule,2025-01-01,2,,True
2025-07-01,Kimi K2 (1T MoE),Moonshot AI,MoE,1000.0,Nvidia H20 Export Ban,2025-04-01,3,,True
2025-05-01,Qwen3-235B,Alibaba Cloud,Dense,235.0,Nvidia H20 Export Ban,2025-04-01,1,,True
2025-01-01,DeepSeek-R1-Zero,DeepSeek AI,MoE,671.0,Third-Country Circumvention Controls,2024-12-01,1,,True
2024-12-01,Qwen2.5-Coder-32B,Alibaba Cloud,Dense,32.0,Biren and Moore Threads Entity List,2023-10-01,14,,True
2025-04-01,Kimi-VL,Moonshot AI,Dense,70.0,AI Diffusion Rule,2025-01-01,3,,True
